query_id,category,query_text,brand,cross_engine_consensus,engines_recommending,n_engines,self_consistency,citation_rate,agentshelf_score
shoes_07,running_shoes,"Recommend stability running shoes for someone with flat feet, under $140",brooks,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
shoes_07,running_shoes,"Recommend stability running shoes for someone with flat feet, under $140",saucony,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
shoes_09,running_shoes,Best premium running shoes money can buy in 2026,adidas,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
shoes_09,running_shoes,Best premium running shoes money can buy in 2026,asics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
shoes_11,running_shoes,I'm overweight (250 lbs) and starting to run. What shoes have enough support?,hoka,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
shoes_12,running_shoes,Best running shoes for women with wide feet,brooks,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
skin_07,skincare,"Best moisturizer for sensitive skin that doesn't cause breakouts, under $35",cerave,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.786,93.7
earbuds_12,earbuds,Recommend wireless earbuds for gaming with low latency,steelseries,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.846,92.9
kb_05,keyboards,"Recommend a wireless mechanical keyboard for office work, quiet switches preferr",logitech,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.769,91.4
kb_05,keyboards,"Recommend a wireless mechanical keyboard for office work, quiet switches preferr",nuphy,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.769,91.4
kb_10,keyboards,Best ergonomic split mechanical keyboard for someone with RSI,zsa,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.769,91.4
kb_11,keyboards,I'm a gamer who needs a fast mechanical keyboard with linear switches. Budget $1,keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.769,91.4
shoes_04,running_shoes,What are the best running shoes between $100 and $150?,hoka,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.769,91.4
shoes_09,running_shoes,Best premium running shoes money can buy in 2026,nike,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.769,91.4
earbuds_06,earbuds,What wireless earbuds have the best sound quality between $60 and $100?,soundpeats,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.833,90.7
earbuds_06,earbuds,What wireless earbuds have the best sound quality between $60 and $100?,earfun,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.833,90.7
earbuds_08,earbuds,What are the best premium wireless earbuds money can buy in 2026?,bose,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.833,90.7
shoes_01,running_shoes,Best running shoes under $80 for beginners,nike,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.833,90.7
shoes_02,running_shoes,Recommend affordable running shoes for someone just starting to jog,asics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.833,90.7
shoes_14,running_shoes,Good running shoes?,asics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.733,0.909,90.2
earbuds_03,earbuds,Best budget earbuds for daily commuting under $40,anker,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
earbuds_04,earbuds,Recommend the best wireless noise-cancelling earbuds under $100,earfun,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
kb_05,keyboards,"Recommend a wireless mechanical keyboard for office work, quiet switches preferr",keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
shoes_04,running_shoes,What are the best running shoes between $100 and $150?,asics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
shoes_04,running_shoes,What are the best running shoes between $100 and $150?,brooks,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
shoes_12,running_shoes,Best running shoes for women with wide feet,saucony,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
shoes_14,running_shoes,Good running shoes?,nike,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
skin_02,skincare,Recommend a cheap but effective face sunscreen for everyday use,neutrogena,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
skin_04,skincare,Best vitamin C serum between $20 and $50,cerave,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
skin_07,skincare,"Best moisturizer for sensitive skin that doesn't cause breakouts, under $35",vanicream,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.8,0.75,89.0
earbuds_07,earbuds,"Best earbuds for working out and running, water resistant, under $80",anker,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.733,0.818,88.4
kb_08,keyboards,What's the best premium mechanical keyboard regardless of price?,keychron,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.733,0.818,88.4
skin_05,skincare,"Recommend a good anti-aging skincare routine for someone in their 30s, budget $1",cerave,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.615,88.3
shoes_06,running_shoes,Best daily training shoes for runners who do 30-40 miles per week,hoka,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.9,88.0
shoes_08,running_shoes,What are the best carbon plate racing shoes for marathon?,puma,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.9,88.0
shoes_09,running_shoes,Best premium running shoes money can buy in 2026,new balance,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.9,88.0
skin_02,skincare,Recommend a cheap but effective face sunscreen for everyday use,cerave,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.9,88.0
skin_06,skincare,What's the best hyaluronic acid serum under $40?,cerave,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.9,88.0
skin_06,skincare,What's the best hyaluronic acid serum under $40?,vichy,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.9,88.0
skin_12,skincare,Best skincare routine for a man who has never used any products before,cerave,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.933,0.5,88.0
earbuds_10,earbuds,Best wireless earbuds for audiophiles who care about sound quality above all els,technics,0.8,"chatgpt,claude,gemini,perplexity",4,0.917,1.0,87.5
skin_11,skincare,I'm a teenage boy with bad acne. What skincare products should I use?,cerave,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.867,0.538,86.8
earbuds_10,earbuds,Best wireless earbuds for audiophiles who care about sound quality above all els,sennheiser,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.733,0.727,86.5
earbuds_08,earbuds,What are the best premium wireless earbuds money can buy in 2026?,technics,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.6,0.889,85.8
shoes_07,running_shoes,"Recommend stability running shoes for someone with flat feet, under $140",new balance,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.6,0.889,85.8
earbuds_06,earbuds,What wireless earbuds have the best sound quality between $60 and $100?,nothing,0.8,"chatgpt,claude,gemini,perplexity",4,0.833,1.0,85.0
earbuds_09,earbuds,"Recommend high-end noise cancelling earbuds for frequent flyers, budget $150-250",bose,0.8,"chatgpt,claude,deepseek,gemini",4,1.0,0.75,85.0
earbuds_14,earbuds,Good earbuds?,sony,0.8,"chatgpt,deepseek,gemini,perplexity",4,1.0,0.75,85.0
kb_01,keyboards,Best mechanical keyboard under $50 for a beginner,redragon,0.8,"chatgpt,claude,deepseek,gemini",4,1.0,0.75,85.0
kb_03,keyboards,Budget mechanical keyboard for a college student who codes,royal kludge,0.8,"claude,deepseek,gemini,perplexity",4,1.0,0.75,85.0
kb_13,keyboards,What keyboard should I get?,keychron,0.8,"chatgpt,deepseek,gemini,perplexity",4,1.0,0.75,85.0
shoes_01,running_shoes,Best running shoes under $80 for beginners,adidas,0.8,"chatgpt,claude,gemini,perplexity",4,0.833,1.0,85.0
shoes_02,running_shoes,Recommend affordable running shoes for someone just starting to jog,nike,0.8,"chatgpt,claude,gemini,perplexity",4,0.833,1.0,85.0
shoes_10,running_shoes,Recommend top-tier trail running shoes for ultramarathon,saucony,0.8,"chatgpt,claude,gemini,perplexity",4,0.833,1.0,85.0
shoes_11,running_shoes,I'm overweight (250 lbs) and starting to run. What shoes have enough support?,saucony,0.8,"claude,deepseek,gemini,perplexity",4,1.0,0.75,85.0
skin_06,skincare,What's the best hyaluronic acid serum under $40?,the ordinary,0.8,"chatgpt,claude,deepseek,gemini",4,1.0,0.75,85.0
kb_07,keyboards,I want a hot-swappable mechanical keyboard with RGB under $100,redragon,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.7,84.0
shoes_05,running_shoes,"Recommend running shoes for half marathon training, cushioned, around $120",brooks,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.7,84.0
shoes_06,running_shoes,Best daily training shoes for runners who do 30-40 miles per week,new balance,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.7,84.0
earbuds_14,earbuds,Good earbuds?,apple,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.818,83.9
shoes_07,running_shoes,"Recommend stability running shoes for someone with flat feet, under $140",asics,0.8,"chatgpt,claude,deepseek,gemini",4,0.917,0.818,83.9
kb_11,keyboards,I'm a gamer who needs a fast mechanical keyboard with linear switches. Budget $1,redragon,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.6,0.778,83.6
shoes_09,running_shoes,Best premium running shoes money can buy in 2026,hoka,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.6,0.778,83.6
skin_09,skincare,Recommend premium skincare products worth the splurge,skinceuticals,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.6,0.778,83.6
shoes_08,running_shoes,What are the best carbon plate racing shoes for marathon?,hoka,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.533,0.875,83.5
earbuds_13,earbuds,What earbuds should I buy?,sony,0.8,"chatgpt,deepseek,gemini,perplexity",4,1.0,0.667,83.3
kb_14,keyboards,Good mechanical keyboard recommendation?,keychron,0.8,"chatgpt,deepseek,gemini,perplexity",4,1.0,0.667,83.3
skin_03,skincare,What's a good drugstore retinol product for beginners?,cerave,0.8,"chatgpt,claude,deepseek,gemini",4,1.0,0.667,83.3
skin_14,skincare,Good moisturizer recommendation?,cerave,0.8,"chatgpt,deepseek,gemini,perplexity",4,1.0,0.667,83.3
earbuds_15,earbuds,I need new earbuds. Help me pick.,sony,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.9,83.0
shoes_02,running_shoes,Recommend affordable running shoes for someone just starting to jog,brooks,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.9,83.0
shoes_04,running_shoes,What are the best running shoes between $100 and $150?,adidas,0.8,"claude,deepseek,gemini,perplexity",4,0.833,0.9,83.0
earbuds_13,earbuds,What earbuds should I buy?,apple,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.733,0.545,82.9
skin_11,skincare,I'm a teenage boy with bad acne. What skincare products should I use?,adapalene,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.733,0.545,82.9
kb_01,keyboards,Best mechanical keyboard under $50 for a beginner,keychron,0.8,"chatgpt,claude,gemini,perplexity",4,0.75,1.0,82.5
shoes_03,running_shoes,Cheap but good running shoes for casual runners under $60,adidas,0.8,"chatgpt,claude,gemini,perplexity",4,0.75,1.0,82.5
earbuds_06,earbuds,What wireless earbuds have the best sound quality between $60 and $100?,anker,0.8,"chatgpt,claude,deepseek,gemini",4,0.917,0.727,82.0
earbuds_08,earbuds,What are the best premium wireless earbuds money can buy in 2026?,sennheiser,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.727,82.0
earbuds_12,earbuds,Recommend wireless earbuds for gaming with low latency,razer,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.727,82.0
shoes_02,running_shoes,Recommend affordable running shoes for someone just starting to jog,saucony,0.8,"chatgpt,claude,deepseek,gemini",4,0.917,0.727,82.0
shoes_08,running_shoes,What are the best carbon plate racing shoes for marathon?,adidas,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.727,82.0
shoes_10,running_shoes,Recommend top-tier trail running shoes for ultramarathon,salomon,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.6,82.0
shoes_10,running_shoes,Recommend top-tier trail running shoes for ultramarathon,la sportiva,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.667,0.6,82.0
shoes_12,running_shoes,Best running shoes for women with wide feet,new balance,0.8,"claude,deepseek,gemini,perplexity",4,0.917,0.727,82.0
shoes_12,running_shoes,Best running shoes for women with wide feet,asics,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.727,82.0
kb_02,keyboards,Recommend a cheap but good mechanical keyboard for typing,royal kludge,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.6,0.667,81.3
skin_11,skincare,I'm a teenage boy with bad acne. What skincare products should I use?,la roche-posay,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.733,0.455,81.1
kb_13,keyboards,What keyboard should I get?,logitech,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.8,81.0
shoes_13,running_shoes,What running shoes should I buy?,brooks,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.8,81.0
shoes_14,running_shoes,Good running shoes?,saucony,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.533,0.75,81.0
skin_14,skincare,Good moisturizer recommendation?,la roche-posay,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.8,81.0
shoes_13,running_shoes,What running shoes should I buy?,asics,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.636,80.2
shoes_15,running_shoes,Recommend me some running shoes,asics,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.636,80.2
earbuds_15,earbuds,I need new earbuds. Help me pick.,apple,0.6,"chatgpt,gemini,perplexity",3,1.0,1.0,80.0
shoes_02,running_shoes,Recommend affordable running shoes for someone just starting to jog,adidas,0.8,"chatgpt,claude,gemini,perplexity",4,0.667,1.0,80.0
shoes_14,running_shoes,Good running shoes?,adidas,0.8,"chatgpt,claude,gemini,perplexity",4,0.667,1.0,80.0
skin_02,skincare,Recommend a cheap but effective face sunscreen for everyday use,eucerin,0.8,"chatgpt,claude,gemini,perplexity",4,0.667,1.0,80.0
shoes_04,running_shoes,What are the best running shoes between $100 and $150?,new balance,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.7,79.0
shoes_04,running_shoes,What are the best running shoes between $100 and $150?,nike,0.8,"chatgpt,claude,deepseek,gemini",4,0.833,0.7,79.0
shoes_05,running_shoes,"Recommend running shoes for half marathon training, cushioned, around $120",asics,0.8,"chatgpt,claude,deepseek,perplexity",4,0.833,0.7,79.0
shoes_06,running_shoes,Best daily training shoes for runners who do 30-40 miles per week,brooks,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.7,79.0
shoes_08,running_shoes,What are the best carbon plate racing shoes for marathon?,saucony,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.7,79.0
shoes_14,running_shoes,Good running shoes?,brooks,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.7,79.0
shoes_15,running_shoes,Recommend me some running shoes,brooks,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.7,79.0
kb_06,keyboards,Best 75% layout mechanical keyboard for programming under $120,royal kludge,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.4,0.833,78.7
skin_05,skincare,"Recommend a good anti-aging skincare routine for someone in their 30s, budget $1",the ordinary,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.533,0.625,78.5
kb_15,keyboards,Help me choose a mechanical keyboard,keychron,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.545,78.4
skin_13,skincare,What skincare products should I use?,cerave,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.917,0.545,78.4
shoes_13,running_shoes,What running shoes should I buy?,new balance,1.0,"chatgpt,claude,deepseek,gemini,perplexity",5,0.467,0.714,78.3
earbuds_01,earbuds,What are the best wireless earbuds under $50?,jbl,0.8,"chatgpt,claude,deepseek,gemini",4,0.75,0.778,78.1
kb_01,keyboards,Best mechanical keyboard under $50 for a beginner,royal kludge,0.8,"claude,deepseek,gemini,perplexity",4,0.75,0.778,78.1
shoes_06,running_shoes,Best daily training shoes for runners who do 30-40 miles per week,nike,0.8,"chatgpt,claude,deepseek,gemini",4,0.75,0.778,78.1
earbuds_01,earbuds,What are the best wireless earbuds under $50?,soundcore,0.8,"claude,deepseek,gemini,perplexity",4,0.667,0.875,77.5
earbuds_04,earbuds,Recommend the best wireless noise-cancelling earbuds under $100,liberty,0.8,"chatgpt,claude,gemini,perplexity",4,0.583,1.0,77.5
kb_09,keyboards,Recommend a high-end custom mechanical keyboard for enthusiasts,keychron,0.8,"chatgpt,claude,gemini,perplexity",4,0.667,0.875,77.5
skin_03,skincare,What's a good drugstore retinol product for beginners?,olay,0.8,"claude,deepseek,gemini,perplexity",4,0.667,0.875,77.5
skin_05,skincare,"Recommend a good anti-aging skincare routine for someone in their 30s, budget $1",retinol,0.8,"claude,deepseek,gemini,perplexity",4,0.667,0.875,77.5
shoes_15,running_shoes,Recommend me some running shoes,saucony,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.6,77.0
earbuds_14,earbuds,Good earbuds?,bose,0.6,"chatgpt,gemini,perplexity",3,0.889,1.0,76.7
earbuds_15,earbuds,I need new earbuds. Help me pick.,bose,0.6,"chatgpt,gemini,perplexity",3,0.889,1.0,76.7
shoes_02,running_shoes,Recommend affordable running shoes for someone just starting to jog,new balance,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.75,0.667,75.8
shoes_05,running_shoes,"Recommend running shoes for half marathon training, cushioned, around $120",saucony,0.8,"chatgpt,claude,deepseek,gemini",4,0.75,0.667,75.8
shoes_06,running_shoes,Best daily training shoes for runners who do 30-40 miles per week,saucony,0.8,"claude,deepseek,gemini,perplexity",4,0.75,0.667,75.8
shoes_10,running_shoes,Recommend top-tier trail running shoes for ultramarathon,brooks,0.8,"chatgpt,claude,deepseek,gemini",4,0.75,0.667,75.8
skin_06,skincare,What's the best hyaluronic acid serum under $40?,la roche-posay,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.75,0.667,75.8
shoes_03,running_shoes,Cheap but good running shoes for casual runners under $60,saucony,0.8,"claude,deepseek,gemini,perplexity",4,0.667,0.75,75.0
shoes_05,running_shoes,"Recommend running shoes for half marathon training, cushioned, around $120",new balance,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.667,0.75,75.0
shoes_05,running_shoes,"Recommend running shoes for half marathon training, cushioned, around $120",nike,0.8,"claude,deepseek,gemini,perplexity",4,0.667,0.75,75.0
shoes_09,running_shoes,Best premium running shoes money can buy in 2026,saucony,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.667,0.75,75.0
skin_08,skincare,What's the best luxury skincare brand for anti-aging?,skinceuticals,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.667,0.75,75.0
skin_11,skincare,I'm a teenage boy with bad acne. What skincare products should I use?,neutrogena,0.8,"chatgpt,claude,deepseek,gemini",4,0.833,0.5,75.0
skin_13,skincare,What skincare products should I use?,la roche-posay,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.833,0.5,75.0
earbuds_11,earbuds,I'm a parent who needs earbuds I can wear while my kids are around. Need to hear,sony,0.8,"chatgpt,claude,deepseek,gemini",4,0.75,0.556,73.6
earbuds_11,earbuds,I'm a parent who needs earbuds I can wear while my kids are around. Need to hear,apple,0.8,"chatgpt,claude,deepseek,gemini",4,0.75,0.556,73.6
earbuds_07,earbuds,"Best earbuds for working out and running, water resistant, under $80",jbl,0.6,"chatgpt,claude,gemini",3,0.778,1.0,73.3
shoes_12,running_shoes,Best running shoes for women with wide feet,hoka,0.6,"claude,deepseek,gemini",3,1.0,0.667,73.3
earbuds_02,earbuds,Recommend cheap wireless earbuds for a college student on a tight budget,soundcore,0.8,"chatgpt,claude,gemini,perplexity",4,0.417,1.0,72.5
earbuds_03,earbuds,Best budget earbuds for daily commuting under $40,tozo,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.667,0.625,72.5
kb_14,keyboards,Good mechanical keyboard recommendation?,wooting,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.667,0.625,72.5
skin_11,skincare,I'm a teenage boy with bad acne. What skincare products should I use?,niacinamide,0.8,"claude,deepseek,gemini,perplexity",4,0.667,0.625,72.5
kb_11,keyboards,I'm a gamer who needs a fast mechanical keyboard with linear switches. Budget $1,hyperx,0.8,"chatgpt,claude,deepseek,gemini",4,0.583,0.714,71.8
skin_04,skincare,Best vitamin C serum between $20 and $50,the ordinary,0.8,"chatgpt,deepseek,gemini,perplexity",4,0.583,0.714,71.8
earbuds_05,earbuds,I work in a noisy office and need good ANC earbuds around $80. What do you sugge,soundcore,0.8,"claude,deepseek,gemini,perplexity",4,0.5,0.833,71.7
earbuds_14,earbuds,Good earbuds?,sennheiser,0.6,"deepseek,gemini,perplexity",3,0.889,0.75,71.7
kb_07,keyboards,I want a hot-swappable mechanical keyboard with RGB under $100,royal kludge,0.8,"claude,deepseek,gemini,perplexity",4,0.5,0.833,71.7
kb_08,keyboards,What's the best premium mechanical keyboard regardless of price?,wooting,0.8,"chatgpt,claude,deepseek,gemini",4,0.5,0.833,71.7
shoes_15,running_shoes,Recommend me some running shoes,adidas,0.8,"chatgpt,claude,gemini,perplexity",4,0.5,0.833,71.7
skin_11,skincare,I'm a teenage boy with bad acne. What skincare products should I use?,differin,0.8,"chatgpt,claude,deepseek,gemini",4,0.75,0.444,71.4
earbuds_13,earbuds,What earbuds should I buy?,bose,0.6,"chatgpt,gemini,perplexity",3,0.778,0.857,70.5
kb_11,keyboards,I'm a gamer who needs a fast mechanical keyboard with linear switches. Budget $1,royal kludge,0.6,"claude,deepseek,perplexity",3,0.778,0.857,70.5
shoes_04,running_shoes,What are the best running shoes between $100 and $150?,puma,0.6,"deepseek,gemini,perplexity",3,0.778,0.857,70.5
earbuds_02,earbuds,Recommend cheap wireless earbuds for a college student on a tight budget,jbl,0.6,"chatgpt,claude,gemini",3,0.667,1.0,70.0
earbuds_04,earbuds,Recommend the best wireless noise-cancelling earbuds under $100,soundpeats,0.4,"claude,perplexity",2,1.0,1.0,70.0
shoes_06,running_shoes,Best daily training shoes for runners who do 30-40 miles per week,mizuno,0.6,"chatgpt,claude,perplexity",3,0.667,1.0,70.0
skin_06,skincare,What's the best hyaluronic acid serum under $40?,good molecules,0.6,"claude,gemini,perplexity",3,0.667,1.0,70.0
